time,date,treatment,transplantation,germination,daysfromgermination,Plant,Device,AmbientHumidity,AmbientTemperature,LeafTemperature,AmbientPressure,AmbientLight,phips2,logitps2
11:41:25,2024-05-28,Control,FALSE,FALSE,27,A1,Li600,68.81,22.45,26.05,978.4000000000001,315,0.641307,0.5810414119906372
11:41:35,2024-05-28,Control,FALSE,FALSE,27,A2,Li600,71.81,22.5,24.58,978.4000000000001,165,0.684596,0.7749745264943885
11:41:43,2024-05-28,Control,FALSE,FALSE,27,A3,Li600,72.15,22.54,25.1,978.4000000000001,163,0.675846,0.7347465279283554
11:41:50,2024-05-28,Control,FALSE,FALSE,27,A4,Li600,72.67,22.57,25.02,978.4000000000001,317,0.66737,0.6963138536248238
11:41:59,2024-05-28,Control,FALSE,FALSE,27,A5,Li600,73.33,22.61,25.54,978.5,248,0.683359,0.7692517037246025
11:42:07,2024-05-28,Control,FALSE,FALSE,27,A6,Li600,73.03,22.65,26.3,978.5,294,0.662669,0.6752109755096397
11:42:13,2024-05-28,Control,FALSE,FALSE,27,A7,Li600,73.42,22.68,25.8,978.5,188,0.675701,0.7340847407598382
11:42:20,2024-05-28,Control,FALSE,FALSE,27,A8,Li600,73.18,22.72,26.3,978.6,244,0.671259,0.7138848468630422
11:42:26,2024-05-28,Control,FALSE,FALSE,27,A9,Li600,74.26,22.75,26.02,978.6,213,0.667114,0.6951608568285415
11:42:32,2024-05-28,Control,FALSE,FALSE,27,A10,Li600,74.92,22.79,26.56,978.6,178,0.692133,0.8101102621506376
11:42:40,2024-05-28,Control,FALSE,FALSE,27,A11,Li600,75.7,22.83,25.38,978.6,189,0.664715,0.6843774609500668
11:42:49,2024-05-28,Control,FALSE,FALSE,27,A12,Li600,77.12,22.88,26.22,978.5,201,0.688817,0.7945944698501523
11:43:28,2024-05-28,Transplantation,TRUE,FALSE,27,B1,Li600,72.4,23.11,24.71,978.7,425,0.652182,0.6286443096157804
11:44:11,2024-05-28,Transplantation,TRUE,FALSE,27,B2,Li600,69.56,23.37,25.18,978.5,414,0.661327,0.6692133824350875
11:44:20,2024-05-28,Transplantation,TRUE,FALSE,27,B3,Li600,70.05,23.42,25.35,978.5,432,0.669343,0.7052150499518204
11:44:27,2024-05-28,Transplantation,TRUE,FALSE,27,B4,Li600,70.2,23.46,25.44,978.5,427,0.659128,0.6594107090820556
11:44:42,2024-05-28,Transplantation,TRUE,FALSE,27,B5,Li600,69.98,23.56,25.46,978.5,462,0.646974,0.6057643996101564
11:44:53,2024-05-28,Transplantation,TRUE,FALSE,27,B6,Li600,70.21,23.62,25.71,978.5,421,0.66807,0.6994688551532695
11:45:03,2024-05-28,Transplantation,TRUE,FALSE,27,B7,Li600,69.87,23.68,26.29,978.5,415,0.656368,0.6471502899439091
11:45:10,2024-05-28,Transplantation,TRUE,FALSE,27,B8,Li600,70.92,23.72,26,978.6,441,0.634617,0.55207554881375
11:45:18,2024-05-28,Transplantation,TRUE,FALSE,27,B9,Li600,70.19,23.77,25.43,978.6,361,0.677031,0.7401607187305004
