row,pot,mass,ber,fungus,cracking,penetrometer,sugar_avg,date_harvest,date_analysis,treatment,transplantation,germination,fruit,daysfromharvesttoanalysis,daysfromgermination,plant,ripeness,sugar_grams
C,6,416.5,FALSE,FALSE,FALSE,1.5,4.5,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Germination,FALSE,TRUE,1,4,96,C6,0.6599999999999999,18.7425
D,4,288.4,FALSE,FALSE,FALSE,0.4,6,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Germ+Trans,TRUE,TRUE,1,4,96,D4,0.91,17.304
D,2,183.7,FALSE,FALSE,FALSE,0.8,6.4,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Germ+Trans,TRUE,TRUE,1,4,96,D2,0.8200000000000001,11.7568
C,5,241.3,FALSE,FALSE,FALSE,0.2,6.5,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Germination,FALSE,TRUE,1,4,96,C5,0.95,15.684500000000002
B,5,234.1,FALSE,FALSE,FALSE,0.7,4.2,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Transplantation,TRUE,FALSE,1,4,96,B5,0.84,9.8322
C,7,244.6,FALSE,FALSE,FALSE,0.4,4.9,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Germination,FALSE,TRUE,1,4,96,C7,0.91,11.9854
D,1,326.9,FALSE,FALSE,FALSE,1.1,5.7,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Germ+Trans,TRUE,TRUE,1,4,96,D1,0.75,18.6333
B,10,186.2,TRUE,TRUE,FALSE,NA,NA,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Transplantation,TRUE,FALSE,1,4,96,B10,NA,NA
C,8,186.2,FALSE,FALSE,FALSE,1.1,5.2,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Germination,FALSE,TRUE,1,4,96,C8,0.75,9.6824
B,2,251.8,FALSE,FALSE,FALSE,0.8,5.1,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Transplantation,TRUE,FALSE,1,4,96,B2,0.8200000000000001,12.8418
A,7,286,FALSE,FALSE,FALSE,1.1,5.6,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Control,FALSE,FALSE,1,4,96,A7,0.75,16.016
B,8,310.9,FALSE,FALSE,FALSE,0.8,5.3,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Transplantation,TRUE,FALSE,1,4,96,B8,0.8200000000000001,16.4777
B,2,236.4,FALSE,FALSE,FALSE,1,5.2,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Transplantation,TRUE,FALSE,1,4,96,B2,0.77,12.292800000000002
B,2,177.3,FALSE,FALSE,FALSE,0.4,5.9,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Transplantation,TRUE,FALSE,1,4,96,B2,0.91,10.460700000000001
B,6,80.5,TRUE,TRUE,FALSE,NA,NA,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Transplantation,TRUE,FALSE,1,4,96,B6,NA,NA
B,10,80.5,TRUE,TRUE,FALSE,NA,NA,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Transplantation,TRUE,FALSE,1,4,96,B10,NA,NA
A,2,100.3,TRUE,TRUE,FALSE,NA,NA,2024-08-01T00:00:00Z,2024-08-05T00:00:00Z,Control,FALSE,FALSE,1,4,96,A2,NA,NA
