"","Treatment","Transplantation","Germination","Row","Pot","Plant","DateHarvest","DateAnalysis","DaysFromHarvestToAnalysis","DaysFromGermination","Mass","BER","Penetrometer","Ripeness","SugarAvg","SugarGrams","Fruit"
"1","Germination",FALSE,TRUE,"C","6","C6","2024-08-01","2024-08-05",4,96,416.5,FALSE,1.5,0.66,0.045,18.7425,1
"2","Germ+Trans",TRUE,TRUE,"D","4","D4","2024-08-01","2024-08-05",4,96,288.4,FALSE,0.4,0.91,0.06,17.304,1
"3","Germ+Trans",TRUE,TRUE,"D","2","D2","2024-08-01","2024-08-05",4,96,183.7,FALSE,0.8,0.82,0.064,11.7568,1
"4","Germination",FALSE,TRUE,"C","5","C5","2024-08-01","2024-08-05",4,96,241.3,FALSE,0.2,0.95,0.065,15.6845,1
"5","Transplantation",TRUE,FALSE,"B","5","B5","2024-08-01","2024-08-05",4,96,234.1,FALSE,0.7,0.84,0.042,9.8322,1
"6","Germination",FALSE,TRUE,"C","7","C7","2024-08-01","2024-08-05",4,96,244.6,FALSE,0.4,0.91,0.049,11.9854,1
"7","Germ+Trans",TRUE,TRUE,"D","1","D1","2024-08-01","2024-08-05",4,96,326.9,FALSE,1.1,0.75,0.057,18.6333,1
"8","Transplantation",TRUE,FALSE,"B","10","B10","2024-08-01","2024-08-05",4,96,186.2,TRUE,NA,NA,NA,NA,1
"9","Germination",FALSE,TRUE,"C","8","C8","2024-08-01","2024-08-05",4,96,186.2,FALSE,1.1,0.75,0.052,9.6824,1
"10","Transplantation",TRUE,FALSE,"B","2","B2","2024-08-01","2024-08-05",4,96,251.8,FALSE,0.8,0.82,0.051,12.8418,1
"11","Control",FALSE,FALSE,"A","7","A7","2024-08-01","2024-08-05",4,96,286,FALSE,1.1,0.75,0.056,16.016,1
"12","Transplantation",TRUE,FALSE,"B","8","B8","2024-08-01","2024-08-05",4,96,310.9,FALSE,0.8,0.82,0.053,16.4777,1
"13","Transplantation",TRUE,FALSE,"B","2","B2","2024-08-01","2024-08-05",4,96,236.4,FALSE,1,0.77,0.052,12.2928,1
"14","Transplantation",TRUE,FALSE,"B","2","B2","2024-08-01","2024-08-05",4,96,177.3,FALSE,0.4,0.91,0.059,10.4607,1
"15","Transplantation",TRUE,FALSE,"B","6","B6","2024-08-01","2024-08-05",4,96,80.5,TRUE,NA,NA,NA,NA,1
"16","Transplantation",TRUE,FALSE,"B","10","B10","2024-08-01","2024-08-05",4,96,80.5,TRUE,NA,NA,NA,NA,1
"17","Control",FALSE,FALSE,"A","2","A2","2024-08-01","2024-08-05",4,96,100.3,TRUE,NA,NA,NA,NA,1
"18","Control",FALSE,FALSE,"A","9","A9","2024-08-01","2024-08-05",4,96,46.2,TRUE,NA,NA,NA,NA,1
"19","Control",FALSE,FALSE,"A","4","A4","2024-08-01","2024-08-05",4,96,103,TRUE,NA,NA,NA,NA,1
"20","Control",FALSE,FALSE,"A","9","A9","2024-08-01","2024-08-05",4,96,106.7,TRUE,NA,NA,NA,NA,1
"21","Transplantation",TRUE,FALSE,"B","5","B5","2024-08-09","2024-08-12",3,103,263.8,FALSE,1,0.77,0.045,11.871,1
"22","Control",FALSE,FALSE,"A","5","A5","2024-08-09","2024-08-12",3,103,170.8,FALSE,1,0.77,0.048,8.1984,1
"23","Germ+Trans",TRUE,TRUE,"D","3","D3","2024-08-09","2024-08-12",3,103,224.2,FALSE,0.2,0.95,0.054,12.1068,1
"24","Germination",FALSE,TRUE,"C","11","C11","2024-08-09","2024-08-12",3,103,27.7,TRUE,NA,NA,NA,NA,1
"25","Germ+Trans",TRUE,TRUE,"D","4","D4","2024-08-09","2024-08-12",3,103,161.6,TRUE,NA,NA,NA,NA,1
"26","Germination",FALSE,TRUE,"C","11","C11","2024-08-09","2024-08-12",3,103,16.9,TRUE,NA,NA,NA,NA,1
