"","Treatment","Transplantation","Germination","Time","Date","DaysFromGermination","Row","Pot","Plant","AmbientHumidity","AmbientTemperature","AmbientPressure","AmbientLight","LeafTemperature","gsw"
"1","Control",FALSE,FALSE,"11:41:25","2024-05-28",27,"A","1","A1",68.81,22.45,97.84,315,26.05,0.325025
"2","Control",FALSE,FALSE,"11:41:35","2024-05-28",27,"A","2","A2",71.81,22.5,97.84,165,24.58,0.629396
"3","Control",FALSE,FALSE,"11:41:43","2024-05-28",27,"A","3","A3",72.15,22.54,97.84,163,25.1,0.507817
"4","Control",FALSE,FALSE,"11:41:50","2024-05-28",27,"A","4","A4",72.67,22.57,97.84,317,25.02,0.540391
"5","Control",FALSE,FALSE,"11:41:59","2024-05-28",27,"A","5","A5",73.33,22.61,97.85,248,25.54,0.489973
"6","Control",FALSE,FALSE,"11:42:07","2024-05-28",27,"A","6","A6",73.03,22.65,97.85,294,26.3,0.398043
"7","Control",FALSE,FALSE,"11:42:13","2024-05-28",27,"A","7","A7",73.42,22.68,97.85,188,25.8,0.462834
"8","Control",FALSE,FALSE,"11:42:20","2024-05-28",27,"A","8","A8",73.18,22.72,97.86,244,26.3,0.384222
"9","Control",FALSE,FALSE,"11:42:26","2024-05-28",27,"A","9","A9",74.26,22.75,97.86,213,26.02,0.498173
"10","Control",FALSE,FALSE,"11:42:32","2024-05-28",27,"A","10","A10",74.92,22.79,97.86,178,26.56,0.465321
"11","Control",FALSE,FALSE,"11:42:40","2024-05-28",27,"A","11","A11",75.7,22.83,97.86,189,25.38,0.619811
"12","Control",FALSE,FALSE,"11:42:49","2024-05-28",27,"A","12","A12",77.12,22.88,97.85,201,26.22,0.655468
"13","Transplantation",TRUE,FALSE,"11:43:28","2024-05-28",27,"B","1","B1",72.4,23.11,97.87,425,24.71,0.437534
"14","Transplantation",TRUE,FALSE,"11:44:11","2024-05-28",27,"B","2","B2",69.56,23.37,97.85,414,25.18,0.26768
"15","Transplantation",TRUE,FALSE,"11:44:20","2024-05-28",27,"B","3","B3",70.05,23.42,97.85,432,25.35,0.28571
"16","Transplantation",TRUE,FALSE,"11:44:27","2024-05-28",27,"B","4","B4",70.2,23.46,97.85,427,25.44,0.263927
"17","Transplantation",TRUE,FALSE,"11:44:42","2024-05-28",27,"B","5","B5",69.98,23.56,97.85,462,25.46,0.27689
"18","Transplantation",TRUE,FALSE,"11:44:53","2024-05-28",27,"B","6","B6",70.21,23.62,97.85,421,25.71,0.280216
"19","Transplantation",TRUE,FALSE,"11:45:03","2024-05-28",27,"B","7","B7",69.87,23.68,97.85,415,26.29,0.236538
"20","Transplantation",TRUE,FALSE,"11:45:10","2024-05-28",27,"B","8","B8",70.92,23.72,97.86,441,26,0.315136
"21","Transplantation",TRUE,FALSE,"11:45:18","2024-05-28",27,"B","9","B9",70.19,23.77,97.86,361,25.43,0.278071
"22","Transplantation",TRUE,FALSE,"11:45:25","2024-05-28",27,"B","10","B10",70.26,23.81,97.86,406,26.06,0.277323
"23","Transplantation",TRUE,FALSE,"11:45:34","2024-05-28",27,"B","11","B11",69.23,23.86,97.86,373,24.46,0.27187
"24","Transplantation",TRUE,FALSE,"11:45:39","2024-05-28",27,"B","12","B12",69.23,23.89,97.86,390,26.11,0.213702
"25","Germination",FALSE,TRUE,"11:45:52","2024-05-28",27,"C","1","C1",69.32,23.96,97.86,281,26,0.246143
"26","Germination",FALSE,TRUE,"11:46:03","2024-05-28",27,"C","2","C2",69.8,24.01,97.86,158,25.37,0.345852
"27","Germination",FALSE,TRUE,"11:46:12","2024-05-28",27,"C","3","C3",68.47,24.06,97.86,137,25.4,0.188574
"28","Germination",FALSE,TRUE,"11:46:19","2024-05-28",27,"C","4","C4",68.4,24.1,97.86,153,25.59,0.228473
"29","Germination",FALSE,TRUE,"11:46:27","2024-05-28",27,"C","5","C5",67.96,24.14,97.86,137,25.38,0.207939
"30","Germination",FALSE,TRUE,"11:46:34","2024-05-28",27,"C","6","C6",68.4,24.18,97.85,286,24.68,0.345677
"31","Germination",FALSE,TRUE,"11:46:40","2024-05-28",27,"C","7","C7",67.59,24.21,97.85,212,25.41,0.205467
"32","Germination",FALSE,TRUE,"11:46:46","2024-05-28",27,"C","8","C8",65.57,24.24,97.85,244,24.97,0.039998
"33","Germination",FALSE,TRUE,"11:46:52","2024-05-28",27,"C","9","C9",66.59,24.27,97.84,264,24.85,0.135386
"34","Germination",FALSE,TRUE,"11:47:00","2024-05-28",27,"C","10","C10",67.99,24.3,97.85,182,25.15,0.279946
"35","Germination",FALSE,TRUE,"11:47:11","2024-05-28",27,"C","11","C11",67.11,24.35,97.84,179,24.43,0.212958
"36","Germination",FALSE,TRUE,"11:47:16","2024-05-28",27,"C","12","C12",66.48,24.37,97.84,210,24.88,0.132307
"37","Germ+Trans",TRUE,TRUE,"11:47:36","2024-05-28",27,"D","1","D1",66.42,24.46,97.85,334,25.26,0.14769
"38","Germ+Trans",TRUE,TRUE,"11:47:45","2024-05-28",27,"D","2","D2",66.12,24.5,97.84,348,25.25,0.143187
"39","Germ+Trans",TRUE,TRUE,"11:47:50","2024-05-28",27,"D","3","D3",66.18,24.53,97.84,358,26.03,0.109924
"40","Germ+Trans",TRUE,TRUE,"11:47:57","2024-05-28",27,"D","4","D4",67.22,24.56,97.84,362,25.63,0.178168
"41","Germ+Trans",TRUE,TRUE,"11:48:04","2024-05-28",27,"D","5","D5",66.67,24.59,97.84,364,26.5,0.135823
"42","Germ+Trans",TRUE,TRUE,"11:48:11","2024-05-28",27,"D","6","D6",66.96,24.63,97.84,376,26.22,0.160257
"43","Germ+Trans",TRUE,TRUE,"11:48:16","2024-05-28",27,"D","7","D7",66.48,24.66,97.84,395,26.27,0.105016
"44","Germ+Trans",TRUE,TRUE,"11:48:22","2024-05-28",27,"D","8","D8",66.14,24.68,97.83,375,26.02,0.101878
"45","Germ+Trans",TRUE,TRUE,"11:48:28","2024-05-28",27,"D","9","D9",66.3,24.71,97.83,378,25.84,0.080274
