"","Treatment","Transplantation","Germination","Time","Date","DaysFromGermination","Row","Pot","Plant","Device","AmbientHumidity","AmbientTemperature","LeafTemperature","AmbientPressure","AmbientLight","PhiPS2","LogitPhiPS2"
"1","Control",FALSE,FALSE,"11:41:25","2024-05-28",27,"A","1","A1","Li600",68.81,22.45,26.05,978.4,315,0.641307,0.581041411990637
"2","Control",FALSE,FALSE,"11:41:35","2024-05-28",27,"A","2","A2","Li600",71.81,22.5,24.58,978.4,165,0.684596,0.774974526494388
"3","Control",FALSE,FALSE,"11:41:43","2024-05-28",27,"A","3","A3","Li600",72.15,22.54,25.1,978.4,163,0.675846,0.734746527928355
"4","Control",FALSE,FALSE,"11:41:50","2024-05-28",27,"A","4","A4","Li600",72.67,22.57,25.02,978.4,317,0.66737,0.696313853624824
"5","Control",FALSE,FALSE,"11:41:59","2024-05-28",27,"A","5","A5","Li600",73.33,22.61,25.54,978.5,248,0.683359,0.769251703724602
"6","Control",FALSE,FALSE,"11:42:07","2024-05-28",27,"A","6","A6","Li600",73.03,22.65,26.3,978.5,294,0.662669,0.67521097550964
"7","Control",FALSE,FALSE,"11:42:13","2024-05-28",27,"A","7","A7","Li600",73.42,22.68,25.8,978.5,188,0.675701,0.734084740759838
"8","Control",FALSE,FALSE,"11:42:20","2024-05-28",27,"A","8","A8","Li600",73.18,22.72,26.3,978.6,244,0.671259,0.713884846863042
"9","Control",FALSE,FALSE,"11:42:26","2024-05-28",27,"A","9","A9","Li600",74.26,22.75,26.02,978.6,213,0.667114,0.695160856828541
"10","Control",FALSE,FALSE,"11:42:32","2024-05-28",27,"A","10","A10","Li600",74.92,22.79,26.56,978.6,178,0.692133,0.810110262150638
"11","Control",FALSE,FALSE,"11:42:40","2024-05-28",27,"A","11","A11","Li600",75.7,22.83,25.38,978.6,189,0.664715,0.684377460950067
"12","Control",FALSE,FALSE,"11:42:49","2024-05-28",27,"A","12","A12","Li600",77.12,22.88,26.22,978.5,201,0.688817,0.794594469850152
"13","Transplantation",TRUE,FALSE,"11:43:28","2024-05-28",27,"B","1","B1","Li600",72.4,23.11,24.71,978.7,425,0.652182,0.62864430961578
"14","Transplantation",TRUE,FALSE,"11:44:11","2024-05-28",27,"B","2","B2","Li600",69.56,23.37,25.18,978.5,414,0.661327,0.669213382435088
"15","Transplantation",TRUE,FALSE,"11:44:20","2024-05-28",27,"B","3","B3","Li600",70.05,23.42,25.35,978.5,432,0.669343,0.70521504995182
"16","Transplantation",TRUE,FALSE,"11:44:27","2024-05-28",27,"B","4","B4","Li600",70.2,23.46,25.44,978.5,427,0.659128,0.659410709082056
"17","Transplantation",TRUE,FALSE,"11:44:42","2024-05-28",27,"B","5","B5","Li600",69.98,23.56,25.46,978.5,462,0.646974,0.605764399610156
"18","Transplantation",TRUE,FALSE,"11:44:53","2024-05-28",27,"B","6","B6","Li600",70.21,23.62,25.71,978.5,421,0.66807,0.69946885515327
"19","Transplantation",TRUE,FALSE,"11:45:03","2024-05-28",27,"B","7","B7","Li600",69.87,23.68,26.29,978.5,415,0.656368,0.647150289943909
"20","Transplantation",TRUE,FALSE,"11:45:10","2024-05-28",27,"B","8","B8","Li600",70.92,23.72,26,978.6,441,0.634617,0.55207554881375
"21","Transplantation",TRUE,FALSE,"11:45:18","2024-05-28",27,"B","9","B9","Li600",70.19,23.77,25.43,978.6,361,0.677031,0.7401607187305
"22","Transplantation",TRUE,FALSE,"11:45:25","2024-05-28",27,"B","10","B10","Li600",70.26,23.81,26.06,978.6,406,0.653843,0.635974832109346
"23","Transplantation",TRUE,FALSE,"11:45:34","2024-05-28",27,"B","11","B11","Li600",69.23,23.86,24.46,978.6,373,0.68343,0.769579850707673
"24","Transplantation",TRUE,FALSE,"11:45:39","2024-05-28",27,"B","12","B12","Li600",69.23,23.89,26.11,978.6,390,0.66076,0.666682866193441
"25","Germination",FALSE,TRUE,"11:45:52","2024-05-28",27,"C","1","C1","Li600",69.32,23.96,26,978.6,281,0.686505,0.783830097520225
"26","Germination",FALSE,TRUE,"11:46:03","2024-05-28",27,"C","2","C2","Li600",69.8,24.01,25.37,978.6,158,0.68069,0.756944571846922
"27","Germination",FALSE,TRUE,"11:46:12","2024-05-28",27,"C","3","C3","Li600",68.47,24.06,25.4,978.6,137,0.687369,0.787847684593406
"28","Germination",FALSE,TRUE,"11:46:19","2024-05-28",27,"C","4","C4","Li600",68.4,24.1,25.59,978.6,153,0.668764,0.702600120314196
"29","Germination",FALSE,TRUE,"11:46:27","2024-05-28",27,"C","5","C5","Li600",67.96,24.14,25.38,978.6,137,0.674936,0.73059578554265
"30","Germination",FALSE,TRUE,"11:46:34","2024-05-28",27,"C","6","C6","Li600",68.4,24.18,24.68,978.5,286,0.676211,0.736413088438902
"31","Germination",FALSE,TRUE,"11:46:40","2024-05-28",27,"C","7","C7","Li600",67.59,24.21,25.41,978.5,212,0.694691,0.822142763875326
"32","Germination",FALSE,TRUE,"11:46:46","2024-05-28",27,"C","8","C8","Li600",65.57,24.24,24.97,978.5,244,0.681245,0.759499223876861
"33","Germination",FALSE,TRUE,"11:46:52","2024-05-28",27,"C","9","C9","Li600",66.59,24.27,24.85,978.4,264,0.66866,0.702130671203947
"34","Germination",FALSE,TRUE,"11:47:00","2024-05-28",27,"C","10","C10","Li600",67.99,24.3,25.15,978.5,182,0.680767,0.757298860008313
"35","Germination",FALSE,TRUE,"11:47:11","2024-05-28",27,"C","11","C11","Li600",67.11,24.35,24.43,978.4,179,0.68146,0.760489499533162
"36","Germination",FALSE,TRUE,"11:47:16","2024-05-28",27,"C","12","C12","Li600",66.48,24.37,24.88,978.4,210,0.671394,0.714496683237241
"37","Germ+Trans",TRUE,TRUE,"11:47:36","2024-05-28",27,"D","1","D1","Li600",66.42,24.46,25.26,978.5,334,0.692167,0.810269827848598
"38","Germ+Trans",TRUE,TRUE,"11:47:45","2024-05-28",27,"D","2","D2","Li600",66.12,24.5,25.25,978.4,348,0.710492,0.89777475731477
"39","Germ+Trans",TRUE,TRUE,"11:47:50","2024-05-28",27,"D","3","D3","Li600",66.18,24.53,26.03,978.4,358,0.680791,0.757409296763412
"40","Germ+Trans",TRUE,TRUE,"11:47:57","2024-05-28",27,"D","4","D4","Li600",67.22,24.56,25.63,978.4,362,0.694355,0.82055905933794
"41","Germ+Trans",TRUE,TRUE,"11:48:04","2024-05-28",27,"D","5","D5","Li600",66.67,24.59,26.5,978.4,364,0.670798,0.711796504311396
"42","Germ+Trans",TRUE,TRUE,"11:48:11","2024-05-28",27,"D","6","D6","Li600",66.96,24.63,26.22,978.4,376,0.692521,0.811931770279856
"43","Germ+Trans",TRUE,TRUE,"11:48:16","2024-05-28",27,"D","7","D7","Li600",66.48,24.66,26.27,978.4,395,0.677344,0.741592527726955
"44","Germ+Trans",TRUE,TRUE,"11:48:22","2024-05-28",27,"D","8","D8","Li600",66.14,24.68,26.02,978.3,375,0.699801,0.846350420831053
"45","Germ+Trans",TRUE,TRUE,"11:48:28","2024-05-28",27,"D","9","D9","Li600",66.3,24.71,25.84,978.3,378,0.666709,0.693337686609088
"46","Germ+Trans",TRUE,TRUE,"11:48:36","2024-05-28",27,"D","10","D10","Li600",67.01,24.75,24.88,978.3,348,0.767045,1.19170016792374
"47","Germ+Trans",TRUE,TRUE,"11:48:41","2024-05-28",27,"D","11","D11","Li600",66.37,24.77,25.86,978.3,394,0.673696,0.724949508406329
"48","Germ+Trans",TRUE,TRUE,"11:48:47","2024-05-28",27,"D","12","D12","Li600",66.76,24.8,26.46,978.3,351,0.662588,0.674848643654841
"49","Control",FALSE,FALSE,"12:30:40","2024-05-30",29,"A","1","A1","Li600",62.53,23.6,24.64,981.9,370,0.624625,0.509225943360875
"50","Control",FALSE,FALSE,"12:31:33","2024-05-30",29,"A","2","A2","Li600",64.65,23.73,24.22,981.9,448,0.601347,0.411080774650518
"51","Control",FALSE,FALSE,"12:31:50","2024-05-30",29,"A","3","A3","Li600",64.89,23.78,24.86,981.9,438,0.684131,0.77282184908029
